,filename,texts
0,img/14_03.jpg,"LIVING,ROOM,THEATERS,KENNY,ZUKE,DELICATESSEN,CLYDE,COMMON,ACE,HOTEL,PORTLAND,ROSE,CITY,BOOKS,STUMPTOWN,COFFEE,ROASTERS,RED,CAP,GARAGE,FISH,GROTTO,SEAFOOD,RESTAURANT,AURA,RESTAURANT,LOUNGE,ROCCO,PIZZA,PASTA,BUFFALO,EXCHANGE,MARK,SPENCER,LIGHT,FEZ,BALLROOM,READING,FRENZY,ROXY,SCANDALS,MARTINOTTI,CAFE,DELI,CROWSENBERG,HALF"
1,img/14_04.jpg,"PORTLANDIA,PORTLAND,BUILDING,AUDITORIUM,PACWEST,CENTER,SEATTLE,BEST,COFFEE,THE,MELTING,POT,CITY,BUREAU,RISK,MANAGEMENT,SCHNITZER,CONCERT,HALL,HEATHMAN,HOTEL,STANDARD,PLAZA,STEAMERS,ASIAN,STREET,BISTRO,EWEN,GISVOLD,GUS,SOLOMON,UNITED,STATES,COURTHOUSE,TREES,RESTAURANT,CATERING,CONGRESS,INTERNATIONAL,RELATIONS,TRANSPORTATION,DEPARTMENT,DUFFY,KEKEL,LLP,INSURANCE,TICHENOR,DZIUBA,LLP,CONKLING,FISKUM,MCCORMICK"
2,img/06_08.jpg,"LULA,ANTIQUE,MALL,ZUBAR,TEPPO,YAKITORI,SUSHI,BAR,GEZELLIG,WHISKY,GREENVILLE,AVENUE,PUBLIC,HOUSE,THE,GIRLS,ROOM,ZYMOLOGY,HOTEL,CAPRI,SERVICE,PIZZA,BILLIARD,SUEDE,ZEPHYRS,PATIO,LOUNGE,ELAN,MAKEUP,STUDIO,NANDINA,ASIAN,TAPAS,OLD,CROW,SLICE,SUGAR,CREEK,EIGHT"
3,img/00_12.jpg,"SUBWAY,KFC,PIZZA,TIME,BALL,LEMON,COIN,LAUNDRY,WESTERN,MEDICAL,CENTER,ANAHEIM,ANNA,HAIR,SALON,MARISCOS,NAYARIT,RESTAURANT,POLLO,LOCO,WATER,BOY,DONALD,ALCOHOL,AND,DRUG,ABUSE,TREATMENT,DEE,BEST,BUILDING,MAINTENANCE,HOT,LINE,BURGER,KING,ELEVEN,BUENA,PARK,HONDA,SUZUKI,CONCORD,EQUIPMENT,COMPANY,SHOE,CITY,OUTLET,SLEEP,HUMAYON,KHAN"
4,img/15_15.jpg,"GHIRARDELLI,CHOCOLATE,GREYSTONE,THE,STEAKHOUSE,GASLAMP,QUARTER,ASSOCIATION,BORDERS,BOOKSTORE,BOOKS,MUSIC,MOVIES,HENRY,PUB,RESTAURANT,FIESTA,LOUNGE,BAR,HOSTELLING,INTERNATIONAL,USA,URBAN,OUTFITTERS,CHIANTI,WHISKEY,GIRL,HOSTELS,SAN,DIEGO,CHEESE,SHOP,TRATTORIA,STRADA,JIMMY,LOVE,ROCK,BOTTOM,BREWERY,BLUE,POINT,COASTAL,CUISINE,LIME,OSTERIA,PANEVINO,ASTI,RISTORANTE,FINE,DINING,SIDE"
5,img/04_04.jpg,"CAM,PHOTO,IMAGING,THRIFT,LUX,CLEANERS,LOTUS,CHINESE,GOURMET,MASTER,NAILS,CUTTING,EDGE,GLENOAK,SHOE,REPAIR,VIVALDI,FLORIST,GIFTS,GOOD,TIME,VIDEO,ELEVEN,GROWING,YEARS,KINGS,COMIX,FLAMINGO,INSURANCE,UNIVERSITY,TRAVEL,SERVICES,BLOCK,INCOME,TAX,PREPARATION,RISHA,ENGINEERING,GROUP,ASSOCIATES,BARDI,PET,HAVEN,LINA,BEAUTY,SALON,CARE,CONCEPTS,COLONY,THEATRE,DATA,LINE"
6,img/12_07.jpg,"WINDSOR,SUITES,PHILADELPHIA,FRIENDS,SELECT,SCHOOL,MARRIOTT,EXECUSTAY,MACE,CROSSING,EMBASSY,HOTEL,CATHEDRAL,PETER,PAUL,OFFICE,MEXICAN,POST,SHERATON,CITY,CENTER,BELL,ATLANTIC,SUBWAY,TGI,FRIDAY,ASIA,THE,PARKWAY,CON,MURPHY,KUJAKU,CAFE,MARABELLA,RESTAURANT,BANK,NEW,YORK,MELLON,TIR,NOG,BAR,GRILL,CENTRAL,PARKING,SYSTEMS,DESILVERIO,ROBERT"
7,img/06_11.jpg,"BANGKOK,INN,CALLE,DOCE,REDENTA,GARDEN,GOLD,RUSH,CAFE,YORK,STREET,CONSIGNMENT,SOLUTION,BENNY,BAGELS,EAST,DALLAS,DEVELOPMENTAL,CENTER,XMAXGAMES,LLC,COFFEE,TIPPERARY,POUR,HOUSE,COUNSELING,EVANS,JOHN,BAKER,PHD,METRO,PAWS,ANIMAL,HOSPITAL,GENERAL,CHINA,RESTAURANT,PAPERBACKS,PLUS,BOULEVARD,REALTY,PETER,POHLS,WINE,THERAPIST,LAKEWOOD,LANDING,PIZZA,HUT"
8,img/08_16.jpg,"ALDEN,HOUSTON,HUBCAB,GRILL,MAGNOLIA,HOTEL,ABC,BONDING,CHRIST,CHURCH,CATHEDRAL,LIVE,SPORTS,CAFE,TREEBEARD,RESTAURANT,TOMATO,LADY,KITCHEN,QUISINE,RONNIE,HARRISON,MOLLY,PUB,MERCURY,ROOM,THE,HOLLYWOOD,SANDWICH,SPECIALTY,RACHEL,SHOP,LITTLE,NAPOLI,ITALIAN,RESTURANT,LAURA,MAFRIGE,ENTERPRISES,CAVA,BISTRO,AMERICAN,COMPASS,INC,GMS,DENTAL,BAKER,CHRISTOPHER,DDS"
9,img/05_12.jpg,"MAX,TOWING,MARIACHI,MEXICO,VIVO,RESURRECTION,PROJECT,KEVIN,SMITH,PHOTOGRAPHY,INTERNATIONAL,RECORDS,ILLINOIS,ENGINEERED,PRODUCTS,CASA,AZTLAN,ACORN,WIRE,IRON,WORKS,LLC,AEROTECHTURE,INC,MAY,STREET,CAFE,PONCE,BUILDERS,CHICAGO,BATHROOM,HOME,RENOVATION,AND,REMODELING,OPEN,KITCHENS,DVORAK,PARK,MASONRY,AND,CONCRETE,CONTRACTORS,PEREZ,PUBLIC,SCHOOL,MEALS,WHEELS,HONKY,TONK,BBQ,PILSEN,ALLIANCE,DENTIST,BROADWAY,COSTUMES"
